Genotype,Animal,Normalized distance from pia (%),Gephyrin Counts
CKO, AB7917,2.0,18.0
CKO, AB7917,4.0,28.0
CKO, AB7917,6.0,36.0
CKO, AB7917,8.0,42.0
CKO, AB7917,10.0,60.333333333333336
CKO, AB7917,12.0,59.333333333333336
CKO, AB7917,14.0,74.66666666666667
CKO, AB7917,16.0,93.0
CKO, AB7917,18.0,118.33333333333333
CKO, AB7917,20.0,112.33333333333333
CKO, AB7917,22.0,115.0
CKO, AB7917,24.0,129.66666666666666
CKO, AB7917,26.0,106.0
CKO, AB7917,28.0,97.66666666666667
CKO, AB7917,30.0,89.66666666666667
CKO, AB7917,32.0,118.33333333333333
CKO, AB7917,34.0,91.0
CKO, AB7917,36.0,94.33333333333333
CKO, AB7917,38.0,108.33333333333333
CKO, AB7917,40.0,106.66666666666667
CKO, AB7917,42.0,105.33333333333333
CKO, AB7917,44.0,93.66666666666667
CKO, AB7917,46.0,122.33333333333333
CKO, AB7917,48.0,101.66666666666667
CKO, AB7917,50.0,101.0
CKO, AB7917,52.0,91.66666666666667
CKO, AB7917,54.0,104.66666666666667
CKO, AB7917,56.0,85.0
CKO, AB7917,58.0,85.66666666666667
CKO, AB7917,60.0,90.33333333333333
CKO, AB7917,62.0,95.66666666666667
CKO, AB7917,64.0,107.0
CKO, AB7917,66.0,91.33333333333333
CKO, AB7917,68.0,94.66666666666667
CKO, AB7917,70.0,78.66666666666667
CKO, AB7917,72.0,87.33333333333333
CKO, AB7917,74.0,88.33333333333333
CKO, AB7917,76.0,94.33333333333333
CKO, AB7917,78.0,98.33333333333333
CKO, AB7917,80.0,90.66666666666667
CKO, AB7917,82.0,93.66666666666667
CKO, AB7917,84.0,59.666666666666664
CKO, AB7917,86.0,90.33333333333333
CKO, AB7917,88.0,74.66666666666667
CKO, AB7917,90.0,80.0
CKO, AB7917,92.0,78.66666666666667
CKO, AB7917,94.0,68.0
CKO, AB7917,96.0,63.0
CKO, AB7917,98.0,60.666666666666664
CKO, AB7930,2.0,8.666666666666666
CKO, AB7930,4.0,20.666666666666668
CKO, AB7930,6.0,26.666666666666668
CKO, AB7930,8.0,34.333333333333336
CKO, AB7930,10.0,39.333333333333336
CKO, AB7930,12.0,47.333333333333336
CKO, AB7930,14.0,51.0
CKO, AB7930,16.0,79.33333333333333
CKO, AB7930,18.0,89.66666666666667
CKO, AB7930,20.0,91.66666666666667
CKO, AB7930,22.0,87.0
CKO, AB7930,24.0,84.33333333333333
CKO, AB7930,26.0,82.33333333333333
CKO, AB7930,28.0,70.66666666666667
CKO, AB7930,30.0,84.33333333333333
CKO, AB7930,32.0,80.66666666666667
CKO, AB7930,34.0,76.66666666666667
CKO, AB7930,36.0,78.66666666666667
CKO, AB7930,38.0,60.0
CKO, AB7930,40.0,60.0
CKO, AB7930,42.0,59.0
CKO, AB7930,44.0,70.66666666666667
CKO, AB7930,46.0,73.33333333333333
CKO, AB7930,48.0,68.66666666666667
CKO, AB7930,50.0,60.333333333333336
CKO, AB7930,52.0,58.0
CKO, AB7930,54.0,52.333333333333336
CKO, AB7930,56.0,38.333333333333336
CKO, AB7930,58.0,64.66666666666667
CKO, AB7930,60.0,53.333333333333336
CKO, AB7930,62.0,55.666666666666664
CKO, AB7930,64.0,47.666666666666664
CKO, AB7930,66.0,44.333333333333336
CKO, AB7930,68.0,46.333333333333336
CKO, AB7930,70.0,37.0
CKO, AB7930,72.0,54.333333333333336
CKO, AB7930,74.0,47.0
CKO, AB7930,76.0,42.333333333333336
CKO, AB7930,78.0,51.0
CKO, AB7930,80.0,36.333333333333336
CKO, AB7930,82.0,41.333333333333336
CKO, AB7930,84.0,33.0
CKO, AB7930,86.0,37.333333333333336
CKO, AB7930,88.0,41.0
CKO, AB7930,90.0,34.666666666666664
CKO, AB7930,92.0,49.666666666666664
CKO, AB7930,94.0,33.666666666666664
CKO, AB7930,96.0,34.333333333333336
CKO, AB7930,98.0,31.333333333333332
CKO, AB7931,2.0,9.0
CKO, AB7931,4.0,11.0
CKO, AB7931,6.0,14.666666666666666
CKO, AB7931,8.0,17.666666666666668
CKO, AB7931,10.0,15.0
CKO, AB7931,12.0,27.0
CKO, AB7931,14.0,28.333333333333332
CKO, AB7931,16.0,49.666666666666664
CKO, AB7931,18.0,62.333333333333336
CKO, AB7931,20.0,65.33333333333333
CKO, AB7931,22.0,62.0
CKO, AB7931,24.0,60.0
CKO, AB7931,26.0,49.333333333333336
CKO, AB7931,28.0,49.666666666666664
CKO, AB7931,30.0,55.0
CKO, AB7931,32.0,58.333333333333336
CKO, AB7931,34.0,40.666666666666664
CKO, AB7931,36.0,36.666666666666664
CKO, AB7931,38.0,39.333333333333336
CKO, AB7931,40.0,43.0
CKO, AB7931,42.0,34.333333333333336
CKO, AB7931,44.0,46.666666666666664
CKO, AB7931,46.0,36.0
CKO, AB7931,48.0,39.666666666666664
CKO, AB7931,50.0,57.333333333333336
CKO, AB7931,52.0,46.333333333333336
CKO, AB7931,54.0,38.666666666666664
CKO, AB7931,56.0,37.666666666666664
CKO, AB7931,58.0,38.0
CKO, AB7931,60.0,34.666666666666664
CKO, AB7931,62.0,37.0
CKO, AB7931,64.0,35.666666666666664
CKO, AB7931,66.0,22.0
CKO, AB7931,68.0,29.666666666666668
CKO, AB7931,70.0,24.333333333333332
CKO, AB7931,72.0,36.333333333333336
CKO, AB7931,74.0,20.333333333333332
CKO, AB7931,76.0,27.333333333333332
CKO, AB7931,78.0,30.333333333333332
CKO, AB7931,80.0,22.333333333333332
CKO, AB7931,82.0,23.0
CKO, AB7931,84.0,24.333333333333332
CKO, AB7931,86.0,28.333333333333332
CKO, AB7931,88.0,30.666666666666668
CKO, AB7931,90.0,27.0
CKO, AB7931,92.0,34.0
CKO, AB7931,94.0,31.0
CKO, AB7931,96.0,21.0
CKO, AB7931,98.0,23.0
CKO, AB7932,2.0,6.666666666666667
CKO, AB7932,4.0,7.333333333333333
CKO, AB7932,6.0,33.666666666666664
CKO, AB7932,8.0,43.666666666666664
CKO, AB7932,10.0,51.0
CKO, AB7932,12.0,72.33333333333333
CKO, AB7932,14.0,51.0
CKO, AB7932,16.0,84.0
CKO, AB7932,18.0,91.33333333333333
CKO, AB7932,20.0,100.33333333333333
CKO, AB7932,22.0,82.0
CKO, AB7932,24.0,87.33333333333333
CKO, AB7932,26.0,103.66666666666667
CKO, AB7932,28.0,74.33333333333333
CKO, AB7932,30.0,73.0
CKO, AB7932,32.0,76.66666666666667
CKO, AB7932,34.0,80.66666666666667
CKO, AB7932,36.0,77.66666666666667
CKO, AB7932,38.0,72.0
CKO, AB7932,40.0,58.666666666666664
CKO, AB7932,42.0,47.0
CKO, AB7932,44.0,69.0
CKO, AB7932,46.0,70.33333333333333
CKO, AB7932,48.0,49.333333333333336
CKO, AB7932,50.0,64.0
CKO, AB7932,52.0,63.666666666666664
CKO, AB7932,54.0,58.0
CKO, AB7932,56.0,55.0
CKO, AB7932,58.0,46.666666666666664
CKO, AB7932,60.0,50.333333333333336
CKO, AB7932,62.0,56.666666666666664
CKO, AB7932,64.0,43.0
CKO, AB7932,66.0,54.0
CKO, AB7932,68.0,58.333333333333336
CKO, AB7932,70.0,47.666666666666664
CKO, AB7932,72.0,58.666666666666664
CKO, AB7932,74.0,61.666666666666664
CKO, AB7932,76.0,74.66666666666667
CKO, AB7932,78.0,67.0
CKO, AB7932,80.0,72.33333333333333
CKO, AB7932,82.0,65.0
CKO, AB7932,84.0,39.0
CKO, AB7932,86.0,49.666666666666664
CKO, AB7932,88.0,64.66666666666667
CKO, AB7932,90.0,56.333333333333336
CKO, AB7932,92.0,49.333333333333336
CKO, AB7932,94.0,43.0
CKO, AB7932,96.0,43.666666666666664
CKO, AB7932,98.0,45.333333333333336
CTRL, AB7920,2.0,24.666666666666668
CTRL, AB7920,4.0,37.0
CTRL, AB7920,6.0,45.666666666666664
CTRL, AB7920,8.0,50.666666666666664
CTRL, AB7920,10.0,66.66666666666667
CTRL, AB7920,12.0,66.33333333333333
CTRL, AB7920,14.0,73.66666666666667
CTRL, AB7920,16.0,99.66666666666667
CTRL, AB7920,18.0,110.33333333333333
CTRL, AB7920,20.0,119.33333333333333
CTRL, AB7920,22.0,133.0
CTRL, AB7920,24.0,129.0
CTRL, AB7920,26.0,115.33333333333333
CTRL, AB7920,28.0,110.0
CTRL, AB7920,30.0,108.0
CTRL, AB7920,32.0,90.33333333333333
CTRL, AB7920,34.0,112.33333333333333
CTRL, AB7920,36.0,102.0
CTRL, AB7920,38.0,93.66666666666667
CTRL, AB7920,40.0,86.33333333333333
CTRL, AB7920,42.0,76.66666666666667
CTRL, AB7920,44.0,92.0
CTRL, AB7920,46.0,70.66666666666667
CTRL, AB7920,48.0,96.0
CTRL, AB7920,50.0,93.66666666666667
CTRL, AB7920,52.0,85.33333333333333
CTRL, AB7920,54.0,83.0
CTRL, AB7920,56.0,96.0
CTRL, AB7920,58.0,87.33333333333333
CTRL, AB7920,60.0,95.0
CTRL, AB7920,62.0,75.33333333333333
CTRL, AB7920,64.0,89.33333333333333
CTRL, AB7920,66.0,91.66666666666667
CTRL, AB7920,68.0,96.33333333333333
CTRL, AB7920,70.0,84.33333333333333
CTRL, AB7920,72.0,102.33333333333333
CTRL, AB7920,74.0,100.33333333333333
CTRL, AB7920,76.0,96.0
CTRL, AB7920,78.0,83.0
CTRL, AB7920,80.0,72.66666666666667
CTRL, AB7920,82.0,83.33333333333333
CTRL, AB7920,84.0,59.666666666666664
CTRL, AB7920,86.0,76.66666666666667
CTRL, AB7920,88.0,82.66666666666667
CTRL, AB7920,90.0,61.333333333333336
CTRL, AB7920,92.0,65.0
CTRL, AB7920,94.0,31.0
CTRL, AB7920,96.0,45.0
CTRL, AB7920,98.0,36.0
CTRL, AB7923,2.0,10.333333333333334
CTRL, AB7923,4.0,6.333333333333333
CTRL, AB7923,6.0,12.666666666666666
CTRL, AB7923,8.0,18.0
CTRL, AB7923,10.0,18.333333333333332
CTRL, AB7923,12.0,28.333333333333332
CTRL, AB7923,14.0,27.666666666666668
CTRL, AB7923,16.0,62.666666666666664
CTRL, AB7923,18.0,75.66666666666667
CTRL, AB7923,20.0,81.0
CTRL, AB7923,22.0,91.0
CTRL, AB7923,24.0,96.66666666666667
CTRL, AB7923,26.0,100.0
CTRL, AB7923,28.0,81.66666666666667
CTRL, AB7923,30.0,96.33333333333333
CTRL, AB7923,32.0,90.0
CTRL, AB7923,34.0,91.66666666666667
CTRL, AB7923,36.0,76.33333333333333
CTRL, AB7923,38.0,78.66666666666667
CTRL, AB7923,40.0,63.666666666666664
CTRL, AB7923,42.0,53.0
CTRL, AB7923,44.0,76.33333333333333
CTRL, AB7923,46.0,87.66666666666667
CTRL, AB7923,48.0,81.66666666666667
CTRL, AB7923,50.0,89.66666666666667
CTRL, AB7923,52.0,88.66666666666667
CTRL, AB7923,54.0,91.66666666666667
CTRL, AB7923,56.0,68.0
CTRL, AB7923,58.0,90.33333333333333
CTRL, AB7923,60.0,69.33333333333333
CTRL, AB7923,62.0,70.33333333333333
CTRL, AB7923,64.0,88.66666666666667
CTRL, AB7923,66.0,86.66666666666667
CTRL, AB7923,68.0,83.66666666666667
CTRL, AB7923,70.0,73.33333333333333
CTRL, AB7923,72.0,64.0
CTRL, AB7923,74.0,73.66666666666667
CTRL, AB7923,76.0,86.33333333333333
CTRL, AB7923,78.0,86.66666666666667
CTRL, AB7923,80.0,84.0
CTRL, AB7923,82.0,96.0
CTRL, AB7923,84.0,71.33333333333333
CTRL, AB7923,86.0,76.33333333333333
CTRL, AB7923,88.0,85.0
CTRL, AB7923,90.0,69.0
CTRL, AB7923,92.0,76.66666666666667
CTRL, AB7923,94.0,68.0
CTRL, AB7923,96.0,63.666666666666664
CTRL, AB7923,98.0,60.0
CTRL, AB7924,2.0,14.666666666666666
CTRL, AB7924,4.0,20.0
CTRL, AB7924,6.0,17.0
CTRL, AB7924,8.0,17.0
CTRL, AB7924,10.0,24.333333333333332
CTRL, AB7924,12.0,31.666666666666668
CTRL, AB7924,14.0,40.333333333333336
CTRL, AB7924,16.0,61.0
CTRL, AB7924,18.0,80.66666666666667
CTRL, AB7924,20.0,91.66666666666667
CTRL, AB7924,22.0,90.66666666666667
CTRL, AB7924,24.0,87.0
CTRL, AB7924,26.0,90.0
CTRL, AB7924,28.0,65.33333333333333
CTRL, AB7924,30.0,65.66666666666667
CTRL, AB7924,32.0,74.33333333333333
CTRL, AB7924,34.0,67.0
CTRL, AB7924,36.0,69.0
CTRL, AB7924,38.0,77.0
CTRL, AB7924,40.0,79.66666666666667
CTRL, AB7924,42.0,75.33333333333333
CTRL, AB7924,44.0,73.0
CTRL, AB7924,46.0,80.0
CTRL, AB7924,48.0,72.33333333333333
CTRL, AB7924,50.0,87.0
CTRL, AB7924,52.0,87.33333333333333
CTRL, AB7924,54.0,79.33333333333333
CTRL, AB7924,56.0,53.333333333333336
CTRL, AB7924,58.0,55.333333333333336
CTRL, AB7924,60.0,61.666666666666664
CTRL, AB7924,62.0,64.0
CTRL, AB7924,64.0,51.333333333333336
CTRL, AB7924,66.0,58.0
CTRL, AB7924,68.0,65.66666666666667
CTRL, AB7924,70.0,55.666666666666664
CTRL, AB7924,72.0,63.666666666666664
CTRL, AB7924,74.0,47.666666666666664
CTRL, AB7924,76.0,57.333333333333336
CTRL, AB7924,78.0,48.666666666666664
CTRL, AB7924,80.0,49.666666666666664
CTRL, AB7924,82.0,63.333333333333336
CTRL, AB7924,84.0,45.333333333333336
CTRL, AB7924,86.0,55.333333333333336
CTRL, AB7924,88.0,50.666666666666664
CTRL, AB7924,90.0,45.333333333333336
CTRL, AB7924,92.0,41.666666666666664
CTRL, AB7924,94.0,35.333333333333336
CTRL, AB7924,96.0,36.333333333333336
CTRL, AB7924,98.0,28.666666666666668
CTRL, AB7927,2.0,41.166666666666664
CTRL, AB7927,4.0,41.166666666666664
CTRL, AB7927,6.0,40.166666666666664
CTRL, AB7927,8.0,51.5
CTRL, AB7927,10.0,62.0
CTRL, AB7927,12.0,80.33333333333333
CTRL, AB7927,14.0,62.333333333333336
CTRL, AB7927,16.0,104.16666666666667
CTRL, AB7927,18.0,111.5
CTRL, AB7927,20.0,129.66666666666666
CTRL, AB7927,22.0,125.33333333333333
CTRL, AB7927,24.0,141.33333333333334
CTRL, AB7927,26.0,125.16666666666667
CTRL, AB7927,28.0,97.66666666666667
CTRL, AB7927,30.0,119.5
CTRL, AB7927,32.0,107.66666666666667
CTRL, AB7927,34.0,113.83333333333333
CTRL, AB7927,36.0,116.5
CTRL, AB7927,38.0,104.83333333333333
CTRL, AB7927,40.0,99.33333333333333
CTRL, AB7927,42.0,105.16666666666667
CTRL, AB7927,44.0,110.33333333333333
CTRL, AB7927,46.0,110.66666666666667
CTRL, AB7927,48.0,103.0
CTRL, AB7927,50.0,86.83333333333333
CTRL, AB7927,52.0,90.66666666666667
CTRL, AB7927,54.0,91.0
CTRL, AB7927,56.0,82.33333333333333
CTRL, AB7927,58.0,82.0
CTRL, AB7927,60.0,82.16666666666667
CTRL, AB7927,62.0,70.83333333333333
CTRL, AB7927,64.0,88.5
CTRL, AB7927,66.0,77.66666666666667
CTRL, AB7927,68.0,81.0
CTRL, AB7927,70.0,76.33333333333333
CTRL, AB7927,72.0,84.0
CTRL, AB7927,74.0,85.16666666666667
CTRL, AB7927,76.0,91.83333333333333
CTRL, AB7927,78.0,95.16666666666667
CTRL, AB7927,80.0,83.66666666666667
CTRL, AB7927,82.0,99.0
CTRL, AB7927,84.0,73.33333333333333
CTRL, AB7927,86.0,94.5
CTRL, AB7927,88.0,90.16666666666667
CTRL, AB7927,90.0,81.0
CTRL, AB7927,92.0,83.66666666666667
CTRL, AB7927,94.0,69.33333333333333
CTRL, AB7927,96.0,71.5
CTRL, AB7927,98.0,63.0
CTRL, AB7928,2.0,10.333333333333334
CTRL, AB7928,4.0,10.333333333333334
CTRL, AB7928,6.0,16.0
CTRL, AB7928,8.0,16.666666666666668
CTRL, AB7928,10.0,12.666666666666666
CTRL, AB7928,12.0,15.0
CTRL, AB7928,14.0,21.333333333333332
CTRL, AB7928,16.0,48.0
CTRL, AB7928,18.0,50.666666666666664
CTRL, AB7928,20.0,58.0
CTRL, AB7928,22.0,50.0
CTRL, AB7928,24.0,72.66666666666667
CTRL, AB7928,26.0,63.0
CTRL, AB7928,28.0,63.0
CTRL, AB7928,30.0,89.0
CTRL, AB7928,32.0,98.0
CTRL, AB7928,34.0,74.33333333333333
CTRL, AB7928,36.0,72.33333333333333
CTRL, AB7928,38.0,71.66666666666667
CTRL, AB7928,40.0,64.0
CTRL, AB7928,42.0,43.666666666666664
CTRL, AB7928,44.0,69.66666666666667
CTRL, AB7928,46.0,62.666666666666664
CTRL, AB7928,48.0,63.666666666666664
CTRL, AB7928,50.0,62.666666666666664
CTRL, AB7928,52.0,61.333333333333336
CTRL, AB7928,54.0,54.666666666666664
CTRL, AB7928,56.0,52.666666666666664
CTRL, AB7928,58.0,60.0
CTRL, AB7928,60.0,54.666666666666664
CTRL, AB7928,62.0,41.333333333333336
CTRL, AB7928,64.0,44.0
CTRL, AB7928,66.0,37.666666666666664
CTRL, AB7928,68.0,42.666666666666664
CTRL, AB7928,70.0,31.333333333333332
CTRL, AB7928,72.0,51.666666666666664
CTRL, AB7928,74.0,44.333333333333336
CTRL, AB7928,76.0,41.666666666666664
CTRL, AB7928,78.0,38.333333333333336
CTRL, AB7928,80.0,41.333333333333336
CTRL, AB7928,82.0,45.666666666666664
CTRL, AB7928,84.0,29.333333333333332
CTRL, AB7928,86.0,32.333333333333336
CTRL, AB7928,88.0,37.333333333333336
CTRL, AB7928,90.0,45.666666666666664
CTRL, AB7928,92.0,35.333333333333336
CTRL, AB7928,94.0,33.0
CTRL, AB7928,96.0,32.0
CTRL, AB7928,98.0,22.666666666666668
